"Author","Title","Year","Journal","Location","Taxonomic_group_class","Taxonomic_order","Taxonomic_group_species","Primates","Mammals_Aves_Other","Measure_of_cognition","Measure_of_sociality","Cognitive_Ability_neuroanatomy_or_both","Cognitive_Ability_detailed","Sociality","Intra_inter_both","Captive_or_wild","Stats","Sample_size","Sample_size_species","Design","r","reverse","Sample_size_group1","Sample_size_group2","mean_grp1","dispersion_grp1","mean_grp2","dispersion_grp2","dispersion_type","ci_T","proportion_grp1","proportion_grp2","F","T","df","dferror","D","v","pearsonr_p","z","Source","Shared_control","Shared_treatment","paperid","studyid","esid","data_source","data_page","source_ref","figure_name","yi","CI","CI_low","CI_high","sd1","sd2","study","weight","sample.size","se","var","ci.lo","ci.hi","fishers.z","ci.lo.z","ci.hi.z","measure","row_id","vi","r_regt","yi_zr","se_zr","vi_zr"
"Amici et al","Fission-fusion dynamics, behavioral flexibility, and inhibitory control in primates",2008,"Current Biology","Liverpool, UK","Mammalia","Primates","Multiple","Primates","Mammalia","Inhibitory Control","Group Stability","Cognitive Ability","Cognitive Ability","Socialinteraction","Inter","Captive","mean",86,7,"Inter_individual_level",NA,"no",40,46,80.4305,13.837,24.9898,3.7305,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper02","study02","es25","table","1416","1",NA,0.404939234211208,NA,NA,NA,87.5128719674997,25.3014820020488,"",79.3193184244335,86,0.112282096517069,0.0126072691982683,0.206463011130776,0.571408552173155,0.429542901726855,0.20947403644475,0.64961176700896,"r",NA,NA,NA,0.429542901726855,0.10976425998969,0.0120481927710843
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Endocranial Volume","Sociality","Neuroanatomy","brain size absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,36241.9894,4241.6488,28245.635,2702.6184,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study04","es34","table","136","1",NA,0.738495072483216,NA,NA,NA,4241.6488,2702.6184,"",20.377331745254,31,0.221526834681378,0.0490741384839508,0.472261002049698,0.881252227271489,0.947160995245215,0.512976377660554,1.38134561282987,"r",NA,NA,NA,0.947160995245215,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Anterior Cerebrum Volume","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,6898.96,1126.2129,3491.25,587.1564,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study04","es35","table","136","1",NA,0.878051237311297,NA,NA,NA,1126.2129,587.1564,"",12.5535499198656,31,0.28223880395506,0.0796587424579826,0.671800052553248,0.957947976452989,1.36719448187652,0.814016591084942,1.9203723726681,"r",NA,NA,NA,1.36719448187652,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Posterior Cerebrum Volume","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,21390.7106,2445.7001,18813.935,1976.7992,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study04","es36","table","136","1",NA,0.495550068016562,NA,NA,NA,2445.7001,1976.7992,"",27.6608896320867,31,0.190137127315881,0.0361521271839355,0.169088766131369,0.724024509356613,0.543390382301686,0.170728460638653,0.91605230396472,"r",NA,NA,NA,0.543390382301686,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Cerebellum and Brain Stem","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,6296.8024,1005.5976,5504.14,650.2844,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study04","es37","table","136","1",NA,0.415097450482025,NA,NA,NA,1005.5976,650.2844,"",29.0774744657771,31,0.185447788429776,0.0343908822334951,0.0781237042610441,0.666947817923558,0.441754212984783,0.0782832266498174,0.805225199319748,"r",NA,NA,NA,0.441754212984783,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Neocortical Surface (AC)","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,1246.53,244.5317,378.83,86.556,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study04","es38","table","136","1",NA,0.91480144579946,NA,NA,NA,244.5317,86.556,"",9.6959352872651,31,0.321147943911179,0.103136001878378,0.729076899138696,0.975044736236815,1.55619237418476,0.926753970409765,2.18563077795976,"r",NA,NA,NA,1.55619237418476,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Neocortical Surface (PC)","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,4270.4606,536.5353,4309.005,648.7372,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study04","es39","table","136","1",NA,-0.0325229140024303,NA,NA,NA,536.5353,648.7372,"",31.9835963556094,31,0.176822021818107,0.031266027399843,-0.361924903314843,0.304099254757518,-0.0325343882136666,-0.379099182650711,0.314030406223378,"r",NA,NA,NA,-0.0325343882136666,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Subcortical Volume (AC)","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,4323.7076,696.2819,2745.005,451.854,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study04","es40","table","136","1",NA,0.795147027326796,NA,NA,NA,696.2819,451.854,"",17.6697871085774,31,0.237894467137452,0.0565937774946123,0.550438537039809,0.914039133605126,1.08527484579581,0.619010258085056,1.55153943350656,"r",NA,NA,NA,1.08527484579581,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Subcortical Volume (PC)","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,14631.42,2407.2575,12242.395,1726.8652,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study04","es41","table","136","1",NA,0.487507790200238,NA,NA,NA,2407.2575,1726.8652,"",27.8194245791896,31,0.18959458469853,0.0359461065470079,0.159805774646616,0.718426056921025,0.532785932004574,0.161187374331627,0.904384489677521,"r",NA,NA,NA,0.532785932004574,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Endocranial Volume","Sociality","Neuroanatomy","brain size absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,36241.9894,4241.6488,37018.935,3864.0232,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study05","es42","table","136","1",NA,-0.0944200994422229,NA,NA,NA,4241.6488,3864.0232,"",31.8611963667656,31,0.177161341578539,0.0313861409499079,-0.415244633322513,0.247293214958982,-0.0947021999145956,-0.441932048861331,0.25252764903214,"r",NA,NA,NA,-0.0947021999145956,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Anterior Cerebrum Volume","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,6898.96,1126.2129,3553.045,848.8295,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study05","es43","table","136","1",NA,0.854704550953704,NA,NA,NA,1126.2129,848.8295,"",14.1611103580479,31,0.265736583048065,0.0706159315700613,0.636650887741142,0.946201002060346,1.27335572081651,0.752521588667567,1.79418985296546,"r",NA,NA,NA,1.27335572081651,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Posterior Cerebrum Volume","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,21390.7106,2445.7001,25972.71,2842.7785,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study05","es44","table","136","1",NA,-0.654920871133331,NA,NA,NA,2445.7001,2842.7785,"",23.536667022232,31,0.206123504799175,0.0424868992306953,-0.829914615907464,-0.362596924125581,-0.783867362448841,-1.18786200822239,-0.37987271667529,"r",NA,NA,NA,-0.783867362448841,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Cerebellum and Brain Stem","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,6296.8024,1005.5976,6200.325,1000.022,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study05","es45","table","136","1",NA,0.0478090776335162,NA,NA,NA,1005.5976,1000.022,"",31.964530991589,31,0.176874747035252,0.0312846761387845,-0.290234743076332,0.375244901979571,0.0478455535327623,-0.298822580430965,0.394513687496489,"r",NA,NA,NA,0.0478455535327623,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Neocortical Surface (AC)","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,1246.53,244.5317,602.685,170.8015,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study05","es46","table","136","1",NA,0.830818242447552,NA,NA,NA,244.5317,170.8015,"",15.6623983466803,31,0.252679999486813,0.0638471821406557,0.601521946979749,0.933637882363245,1.1907723237244,0.695528625116643,1.68601602233215,"r",NA,NA,NA,1.1907723237244,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Neocortical Surface (PC)","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,4270.4606,536.5353,5185.705,448.6472,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study05","es47","table","136","1",NA,-0.67412040024599,NA,NA,NA,536.5353,448.6472,"",22.8851339530969,31,0.209037051316858,0.0436964888232466,-0.841987366414625,-0.387242933648547,-0.818257592452635,-1.22796268446813,-0.408552500437143,"r",NA,NA,NA,-0.818257592452635,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Subcortical Volume (AC)","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,4323.7076,696.2819,2161.505,626.6003,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study05","es48","table","136","1",NA,0.850323277631597,NA,NA,NA,696.2819,626.6003,"",14.4468191454803,31,0.263095779894796,0.0692193893984511,0.630147456043152,0.943934812169816,1.25731893166906,0.741660678590785,1.77297718474734,"r",NA,NA,NA,1.25731893166906,0.188982236504614,0.0357142857142857
"Arsznov & Sakai","The procyonid social club: Comparison of brain volumes in the coatimundi (Nasua nasua, N. narica), Kinkajou (Potos flavus), and Raccoon (Procyon lotor)",2013,"Brain, Behavior and Evolution","Michigan, USA","Mammalia","Carnivora","Multiple","Other","Mammalia","Subcortical Volume (PC)","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Unknown","mean",31,2,"Inter_individual_level",NA,"no",17,14,14631.42,2407.2575,16986.85,2205.8239,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper04","study05","es49","table","136","1",NA,-0.451096212076376,NA,NA,NA,2407.2575,2205.8239,"",28.4886842722923,31,0.187354359884777,0.0351016561678346,-0.692780950025968,-0.11831118831435,-0.486075690822522,-0.853283488543241,-0.118867893101803,"r",NA,NA,NA,-0.486075690822522,0.188982236504614,0.0357142857142857
"Bond et al","Serial Reversal Learning and the Evolution of Behavioral Flexibility in Three Species of North American Corvids (Gymnorhinus cyanocephalus, Nucifraga columbiana, Aphelocoma californica)",2007,"Journal of Comparative Psychology","Nebraska, USA","Aves","Passeriformes","Multiple","Other","Aves","Reversal Learning","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Wild Caught Captives","mean",10,2,"Inter_individual_level",NA,"yes",5,5,1,0.565442477068913,1.26436781609195,0.69395213094821,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper98","study100","es554","figure","375","1b","paper98_study100_es554_1b",0.204422236815112,NA,NA,NA,0.565442477068913,0.69395213094821,"",10.786598894671,10,0.304479273862903,0.0927076282120805,-0.666329188915737,0.370864487987326,-0.207343331286029,-0.804111742096226,0.389425079524168,"r",NA,NA,NA,0.207343331286029,0.377964473009227,0.142857142857143
"Bond et al","Serial Reversal Learning and the Evolution of Behavioral Flexibility in Three Species of North American Corvids (Gymnorhinus cyanocephalus, Nucifraga columbiana, Aphelocoma californica)",2007,"Journal of Comparative Psychology","Nebraska, USA","Aves","Passeriformes","Multiple","Other","Aves","Reversal Learning","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Wild Caught Captives","mean",10,2,"Inter_individual_level",NA,"yes",5,5,0.588571428571428,0.63887656499994,0.885714285714285,0.587766439799945,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper98","study100","es555","figure","376","2b","paper98_study100_es555_2b",0.235238735344368,NA,NA,NA,0.63887656499994,0.587766439799945,"",10.7154403098165,10,0.305488586705153,0.093323276607112,-0.685000232711555,0.344349398787828,-0.2397279127877,-0.838474540417842,0.359018714842442,"r",NA,NA,NA,0.239727912787699,0.377964473009227,0.142857142857143
"Costanzo et al","Spatial learning and memory in African mole-rats: The role of sociality and sex",2009,"Physiology & Behavior","Pretoria, South Africa","Mammalia","Rodentia","Multiple","Other","Mammalia","Spatial Learning","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Wild Caught Captives","mean",57,2,"Inter_individual_level",NA,"yes",34,23,64.3962848297213,47.0588235294118,188.235294117647,97.8328173374613,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper16","study17","es71","figure","132","3a","paper16_study17_es71_3a",0.645880413124145,NA,NA,NA,47.0588235294118,97.8328173374613,"",42.9774907040009,57,0.152538500375786,0.0232679940968938,-0.788391871863523,-0.437575390560164,-0.768198026727191,-1.06716799371948,-0.469228059734901,"r",NA,NA,NA,0.768198026727191,0.136082763487954,0.0185185185185185
"Costanzo et al","Spatial learning and memory in African mole-rats: The role of sociality and sex",2009,"Physiology & Behavior","Pretoria, South Africa","Mammalia","Rodentia","Multiple","Other","Mammalia","Spatial Learning","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Wild Caught Captives","mean",57,2,"Inter_individual_level",NA,"yes",34,23,7.61904761904762,9.39682539682539,3.17460317460318,2.28571428571429,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper16","study17","es72","figure","132","3b","paper16_study17_es72_3b",-0.281907741253749,NA,NA,NA,9.39682539682539,2.28571428571429,"",55.6413244217055,57,0.134060634502333,0.0179722537231681,0.0269927337197395,0.502397039158534,0.289753307660621,0.0269992922914609,0.552507323029781,"r",NA,NA,NA,-0.289753307660621,0.136082763487954,0.0185185185185185
"Costanzo et al","Spatial learning and memory in African mole-rats: The role of sociality and sex",2009,"Physiology & Behavior","Pretoria, South Africa","Mammalia","Rodentia","Multiple","Other","Mammalia","Spatial Learning","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Wild Caught Captives","mean",57,2,"Inter_individual_level",NA,"no",34,23,7.47634069400631,2.55520504731862,3.59621451104102,1.60883280757098,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper16","study17","es73","figure","132","3c","paper16_study17_es73_3c",0.650010760526284,NA,NA,NA,2.55520504731862,1.60883280757098,"",42.7331151017455,57,0.15297403551747,0.0234010555425002,0.442627449070419,0.79139022896315,0.775317339377205,0.475493739193213,1.0751409395612,"r",NA,NA,NA,0.775317339377205,0.136082763487954,0.0185185185185185
"Costanzo et al","Spatial learning and memory in African mole-rats: The role of sociality and sex",2009,"Physiology & Behavior","Pretoria, South Africa","Mammalia","Rodentia","Multiple","Other","Mammalia","Spatial Memory","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Wild Caught Captives","mean",57,2,"Inter_individual_level",NA,"yes",34,23,67.97583081571,55.7401812688822,221.601208459214,197.129909365559,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper16","study17","es74","figure","132","4","paper16_study17_es74_4",0.496011346271121,NA,NA,NA,55.7401812688822,197.129909365559,"",50.0046912838849,57,0.141414722226841,0.0199981236624947,-0.675706047873788,-0.260676630904773,-0.544001993768116,-0.821169756216461,-0.266834231319771,"r",NA,NA,NA,0.544001993768116,0.136082763487954,0.0185185185185185
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Spatial Memory","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",40,2,"Inter_individual_level",NA,"no",13,27,53.9,23,55.6,17,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es97","table","8","2",NA,-0.0416528067269096,NA,NA,NA,23,17,"",40.9652707469671,40,0.156239947818107,0.0244109212942047,-0.3345132555036,0.258544254234257,-0.0416769204335564,-0.347901591103463,0.26454775023635,"r",NA,NA,NA,-0.0416769204335564,0.164398987305357,0.027027027027027
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Object Permanence","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",40,2,"Inter_individual_level",NA,"no",13,27,47.9,12,38.3,15,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es98","table","8","2",NA,0.303396393865041,NA,NA,NA,12,15,"",39.0701938414905,40,0.159984245339895,0.0255949587569758,-0.000307252702173893,0.5558582835273,0.313256106248172,-0.000307252711842565,0.626819465208187,"r",NA,NA,NA,0.313256106248172,0.164398987305357,0.027027027027027
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Rotation","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",39,2,"Inter_individual_level",NA,"no",13,26,45.3,10,41,9,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es99","table","8","2",NA,0.212175714242659,NA,NA,NA,10,9,"",39.1019235501006,39,0.159919321632312,0.0255741894313388,-0.0976751704657612,0.48452804183732,0.215448528747035,-0.0979875820843733,0.528884639578443,"r",NA,NA,NA,0.215448528747035,0.166666666666667,0.0277777777777778
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Transposition","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",40,2,"Inter_individual_level",NA,"no",13,27,40.2,13,42.2,11,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es100","table","8","2",NA,-0.0800215915840438,NA,NA,NA,13,11,"",40.8715195381716,40,0.156419036998427,0.0244669151355153,-0.368571244335633,0.222592989179745,-0.0801930557356405,-0.386768734748996,0.226382623277715,"r",NA,NA,NA,-0.0801930557356405,0.164398987305357,0.027027027027027
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Relative Numbers","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",40,2,"Inter_individual_level",NA,"no",13,27,62,7,60.4,10,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es101","table","8","2",NA,0.0815450173047742,NA,NA,NA,7,10,"",40.8665645575737,40,0.156428519442204,0.0244698816948799,-0.221152713890964,0.369911661304715,0.0817264888567667,-0.224867775404876,0.38832075311841,"r",NA,NA,NA,0.0817264888567667,0.164398987305357,0.027027027027027
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Addition Numbers","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",39,2,"Inter_individual_level",NA,"no",13,26,70.9,20,60.2,13,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es102","table","8","2",NA,0.307333604249658,NA,NA,NA,20,13,"",38.0668513276153,39,0.162078915480427,0.0262695748433115,-7.06202717588849e-05,0.561668329175334,0.317598216723073,-7.0620271876265e-05,0.635267053718021,"r",NA,NA,NA,0.317598216723073,0.166666666666667,0.0277777777777778
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Noise","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",40,2,"Inter_individual_level",NA,"no",13,27,63.5,13,59.3,10,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es103","table","8","2",NA,0.175487274076245,NA,NA,NA,13,10,"",40.374452215722,40,0.157378962689198,0.0247681378971278,-0.130387828854677,0.45086052504546,0.177322732678935,-0.131134366116166,0.485779831474035,"r",NA,NA,NA,0.177322732678935,0.164398987305357,0.027027027027027
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Shape","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",40,2,"Inter_individual_level",NA,"no",13,27,76.9,15,72.8,10,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es104","table","8","2",NA,0.160496101848469,NA,NA,NA,15,10,"",40.4780981918276,40,0.157177345616859,0.0247047179751616,-0.145133959978545,0.438165225446013,0.161895873376954,-0.146166063217694,0.469957809971603,"r",NA,NA,NA,0.161895873376954,0.164398987305357,0.027027027027027
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Tool properties","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",40,2,"Inter_individual_level",NA,"no",13,27,63.6,12,58.6,8,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es105","table","8","2",NA,0.240591132298971,NA,NA,NA,12,8,"",39.8078138337572,40,0.158495098528875,0.0251206962576779,-0.0651507992810544,0.505037953523846,0.245401469812134,-0.0652432150305886,0.556046154654857,"r",NA,NA,NA,0.245401469812134,0.164398987305357,0.027027027027027
